* 'Flag',  'ylow',  'yhigh',  'pTlow',  'pThigh',       'Sigma',         'stat',      'uncor',  'nperr+',    'nperr-',   'lumi',    'unf_err+',      'unf_err-',    'AbsoluteMPFBias+',  'AbsoluteMPFBias-',  'AbsoluteScale+',  'AbsoluteScale-',  'AbsoluteStat+',  'AbsoluteStat-',   'FlavorQCD+',     'FlavorQCD-',    'Fragmentation+',  'Fragmentation-',   'PileUpDataMC+',  'PileUpDataMC-',   'PileUpPtBB+',    'PileUpPtBB-',   'PileUpPtEC1+',  'PileUpPtEC1-',  'PileUpPtEC2+',  'PileUpPtEC2-', 'PileUpPtRef+',   'PileUpPtRef-',   'RelativeBal+',  'RelativeBal-',  'RelativeFSR+',  'RelativeFSR-',  'RelativeJEREC1+',  'RelativeJEREC1-',  'RelativeJEREC2LL+',  'RelativeJEREC2LL-',  'RelativePtBB+',  'RelativePtBB-',  'RelativePtEC1+',  'RelativePtEC1-',  'RelativePtEC2+',  'RelativePtEC2-',  'RelativeStatEC+',  'RelativeStatEC-',  'RelativeStatFSR+',  'RelativeStatFSR-',  'SinglePionECAL+',  'SinglePionECAL-',  'SinglePionHCAL+',  'SinglePionHCAL-',  'TimePtEta+',  'TimePtEta-',   'RelativeSample+',  'RelativeSample-' 
    0       0.0      0.5      2000.0     2238.0   0.000132753953947  5.55275487701     1.0        0.0          0.0        2.6    0.786465433279  -0.725852399127     0.872785173714      -0.843776400288      0.841022717082     -1.90299949189         0.0               0.0          -1.97532326565    1.24547492184      -2.01114919021     0.497073121548     0.426328037599   -0.234090416643   -0.721648749894    0.167767008314         0.0              0.0              0.0              0.0         0.424915114153   -0.232423260272    0.429171253076   -1.02823879595   1.98927135495    -1.88247768905         0.0                 0.0                 0.0                 0.0            1.1414920954     -2.27992131111          0.0                0.0                0.0                0.0                0.0                 0.0             0.221906551697      -0.322755850103      0.29415793025       -1.8281375675       0.276340215769      -1.46731898424    2.46944804846  -2.8480246081     -2.3416300951       1.09142214484   
    0       0.0      0.5      2238.0     2500.0   4.50867624161e-05  9.35462095558     1.0        0.0          0.0        2.6    0.656575451185   -0.63755479745     4.70055838472        -2.1127438661       1.88308185477      0.776437822191         0.0               0.0          0.731249459055    2.00655272791      1.32273414221      1.32092368765      0.325302449683   0.0843704078902    1.26478659136     0.71310845122          0.0              0.0              0.0              0.0         0.326154057918    0.083131602884    3.52429996552    -1.1287418707    4.81625373229    -3.2762063647          0.0                 0.0                 0.0                 0.0           1.47645763411     1.54019408999           0.0                0.0                0.0                0.0                0.0                 0.0             0.949807192912       0.455417493414      1.45520582192       1.19931336991       0.623426758747      1.53693392476     6.17239867834  -3.93952112554    1.74311553375       1.22758433478   
    0       0.0      0.5      2500.0     2787.0   1.23179275654e-05  17.7485632716     1.0        0.0          0.0        2.6    1.46266006389    -1.38505826892     2.78576666029        -3.03241439347      4.13588190927      -3.94127399955         0.0               0.0          -3.94169370686    4.01558343867      -1.5557575792      1.84490053991     -0.298683000953   -0.0600835529449   -3.61736186515    0.257513814902         0.0              0.0              0.0              0.0        -0.299583656726   -0.0595579438647   2.90834612377    -3.19680759061   5.41922355666    -1.79042642475         0.0                 0.0                 0.0                 0.0            4.0002340996     -3.3437482369           0.0                0.0                0.0                0.0                0.0                 0.0             -2.77483358347       -1.14545616583      1.74134016378       -1.46098926704       2.1464080681       -2.5629204777      5.5484824317  -3.0519415995     -3.23162400175      4.20323622518   
    0       0.0      0.5      2787.0     3103.0   3.51644649518e-06  29.2639150701     1.0        0.0          0.0        2.6    1.39305257527    -1.32471289575     -2.33081309324       -5.16216103534      0.287160164176     -4.79642704044         0.0               0.0          -8.01343791619    0.364331636191     -5.34750625969     0.692191291473     0.206638375302    0.038366040011    2.42950212484     1.79275451396          0.0              0.0              0.0              0.0         0.208918344233   0.0367270047174    4.54710961926    -1.65050165965   5.02563532392    -12.8336789955         0.0                 0.0                 0.0                 0.0          -0.197501858162    -8.67718751962          0.0                0.0                0.0                0.0                0.0                 0.0             3.84324254064        0.763103901563      0.765556032499      -5.41435845449      0.520153886487      -4.00484204175    5.51120495763  -11.9176948668    -8.77705776088     -0.332652047016  
    0       0.0      0.5      3103.0     3450.0   3.47833786883e-06  27.3873365727     1.0        0.0        0.0       2.6        0.0          0.0         -1.04496301002       -2.5898310833       -1.08797592962     -2.0715156826      0.195798823264      -3.37545961186     -4.37848354305   -0.895379160546    -1.13606033638    -0.873067924487    0.625498859188    -3.41966350391    -4.93356801874    -2.37923576292        0.0              0.0              0.0              0.0             0.0             0.0         -1.12625033714   -0.362782799509    -2.07235340346   -0.57191210442    0.292163264768    -6.85012277921         0.0                 0.0                 0.0                 0.0                 0.0                0.0           1.79362545667     -2.50529597654          0.0                0.0                0.0                0.0               0.0               0.0                0.0                 0.0            -0.351299204109       -3.41300181685           0.0                 0.0            -0.86832607703      -1.98854082825     -0.728400842046      -3.19526858676     -4.21273817067    -6.69435084073     -9.54509678875      15.9327947073   
    0       0.0      0.5      3450.0     3832.0   3.47833786883e-06  27.3873365727     1.0        0.0        0.0       2.6        0.0          0.0         -1.04496301002       -2.5898310833       -1.08797592962     -2.0715156826      0.195798823264      -3.37545961186     -4.37848354305   -0.895379160546    -1.13606033638    -0.873067924487    0.625498859188    -3.41966350391    -4.93356801874    -2.37923576292        0.0              0.0              0.0              0.0             0.0             0.0         -1.12625033714   -0.362782799509    -2.07235340346   -0.57191210442    0.292163264768    -6.85012277921         0.0                 0.0                 0.0                 0.0                 0.0                0.0           1.79362545667     -2.50529597654          0.0                0.0                0.0                0.0               0.0               0.0                0.0                 0.0            -0.351299204109       -3.41300181685           0.0                 0.0            -0.86832607703      -1.98854082825     -0.728400842046      -3.19526858676     -4.21273817067    -6.69435084073     -9.54509678875      15.9327947073   
    0       0.5      1.0       56.0      74.0      8570.15161302    0.234897488331    1.0      -0.0498008  0.04975125    2.6    0.969023503988  0.969023503988     1.89022853943       -0.391487697441      1.44585673068      0.110713159951    0.756115397462    0.756115397462    4.12162129455    -2.48327951642    1.00000101616      0.533493506485    1.40939791022     0.117392295672   0.905782729447  0.62109026927    0.756115397462   0.756115397462   0.756115397462   0.756115397462   0.974534230756   0.552804308119   0.865392863639   0.678476603545   0.44973430584    1.07885423128     0.756115397462      0.756115397462      0.756115397462      0.756115397462     0.581880623946    0.927597622667     0.756115397462     0.756115397462     0.756115397462     0.756115397462     0.756115397462      0.756115397462       0.836728063735       0.679234210275      0.398363815345      1.14760337525       0.675566938884      0.839915202502    2.70705187462   -1.1611925751     1.65659859657      -0.169184748574  
    0       0.5      1.0       74.0      97.0      8570.15161302    0.234897488331    1.0      -0.0498008  0.04975125    2.6    0.969023503988  0.969023503988     1.89022853943       -0.391487697441      1.44585673068      0.110713159951    0.756115397462    0.756115397462    4.12162129455    -2.48327951642    1.00000101616      0.533493506485    1.40939791022     0.117392295672   0.905782729447  0.62109026927    0.756115397462   0.756115397462   0.756115397462   0.756115397462   0.974534230756   0.552804308119   0.865392863639   0.678476603545   0.44973430584    1.07885423128     0.756115397462      0.756115397462      0.756115397462      0.756115397462     0.581880623946    0.927597622667     0.756115397462     0.756115397462     0.756115397462     0.756115397462     0.756115397462      0.756115397462       0.836728063735       0.679234210275      0.398363815345      1.14760337525       0.675566938884      0.839915202502    2.70705187462   -1.1611925751     1.65659859657      -0.169184748574  
    0       0.5      1.0       97.0      133.0      8570.15161302    0.234897488331    1.0      -0.0993049  0.0993049     2.6    1.75715916282  -1.71467426499     1.89022853943       -0.391487697441      1.44585673068      0.110713159951    0.756115397462    0.756115397462    4.12162129455    -2.48327951642    1.00000101616      0.533493506485    1.40939791022     0.117392295672   0.905782729447  0.62109026927    0.756115397462   0.756115397462   0.756115397462   0.756115397462   0.974534230756   0.552804308119   0.865392863639   0.678476603545   0.44973430584    1.07885423128     0.756115397462      0.756115397462      0.756115397462      0.756115397462     0.581880623946    0.927597622667     0.756115397462     0.756115397462     0.756115397462     0.756115397462     0.756115397462      0.756115397462       0.836728063735       0.679234210275      0.398363815345      1.14760337525       0.675566938884      0.839915202502    2.70705187462   -1.1611925751     1.65659859657      -0.169184748574  
    0       0.5      1.0      133.0      174.0      2103.13971669    0.341953923341    1.0      -0.0498008  0.04975125    2.6    1.13730364861  -1.14799047347     1.88244300139       -0.399615360072      1.41684263451    -0.00806106375198   0.715278010388    0.715278010388    3.55210026703    -2.11215043205    0.917701093619     0.493675170631    1.27069483175     0.170081429225   0.848657661545  0.562211737804   0.715278010388   0.715278010388   0.715278010388   0.715278010388   0.827255765804   0.579056585156   0.860051389655   0.55124541253    0.447004695902   1.01038098309     0.715278010388      0.715278010388      0.715278010388      0.715278010388     0.675858049964    0.758919627021     0.715278010388     0.715278010388     0.715278010388     0.715278010388     0.715278010388      0.715278010388       0.794012847491       0.629996665356      0.490362288867      0.908134576522      0.604389227929      0.819965728978    2.64146791667   -1.24503081809    1.26446760367       0.21193619815   
    0       0.5      1.0      174.0      220.0      549.700468963    0.281357275522    1.0     -0.04995005  0.0499002     2.6    1.48130176822  -1.43384004569     2.10287083203       -0.415826600741      1.60101923439     0.0922702940311    0.853866162123    0.853866162123    3.49236205883    -1.75789573646    0.96237281073      0.751051898359    1.24893298021     0.469862669757   0.989002117605  0.726086446154   0.853866162123   0.853866162123   0.853866162123   0.853866162123   0.991967414099   0.71683122719    0.969503259448   0.724079055404   0.572038761746   1.14824022937     0.853866162123      0.853866162123      0.853866162123      0.853866162123     0.872342741624    0.85886849986      0.853866162123     0.853866162123     0.853866162123     0.853866162123     0.853866162123      0.853866162123       0.946776081361       0.764643007227      0.72340857857       0.997736403982      0.839887990811      0.871092869551    3.35549440304   -1.60095871556    1.09979302195       0.587168291585  
    0       0.5      1.0      220.0      272.0      170.233318987    0.353693385561    1.0        -0.05       0.0501      2.6    1.12014379062   -1.12649937       1.95146474142       -0.413277175872      1.49585887591     0.0426917954165    0.788063084144    0.788063084144    2.92519878529    -1.28934640537    0.792943238202     0.762468045367    1.10618862831     0.429375443914   0.830226570314  0.753495412162   0.788063084144   0.788063084144   0.788063084144   0.788063084144   0.881605563153   0.685659286836   0.964067144398   0.633263023047   0.575000003882   0.952760341251    0.788063084144      0.788063084144      0.788063084144      0.788063084144     0.87288703715     0.645193976663     0.788063084144     0.788063084144     0.788063084144     0.788063084144     0.788063084144      0.788063084144       0.87246393666        0.69049488322       0.756574181837       0.7960062351       0.784247180131      0.787436764722    2.98624505035   -1.36303518227    0.858610318947      0.70925162777   
    0       0.5      1.0      272.0      330.0      55.7956221186    0.295797344236    1.0      -0.1003515  0.0501505     2.6    1.90920423425  -1.8982204419      1.90597423993       -0.702724732446      1.36335233933     -0.195604955095    0.553078139926    0.553078139926    2.57304797949    -1.36038149133    0.521773434562     0.626759466787    0.855345906599    0.307860770373   0.669796174024  0.427205520688   0.553078139926   0.553078139926   0.553078139926   0.553078139926   0.518613296785   0.590832962907   0.838256631609   0.329183137887   0.318930252612   0.877259597232    0.553078139926      0.553078139926      0.553078139926      0.553078139926     0.748750461007    0.442061804673     0.553078139926     0.553078139926     0.553078139926     0.553078139926     0.553078139926      0.553078139926       0.663407823307       0.471197556747      0.655603692297      0.493720729882      0.520262067499      0.587255619093    3.04130604675   -1.84929820495    0.405155477291      0.864140996061  
    0       0.5      1.0      330.0      395.0      19.6501306739    0.226432453394    1.0      -0.1005535     -0.0       2.6    1.26919770428  -1.23405016085     2.38974505551       -0.245449423789      1.88518838195      0.289483373611     1.0965880915      1.0965880915     2.84990207528   -0.631376711199    0.978622095075     1.19463863074     1.31383642256     0.838293860013   1.10049944484    1.0855302394     1.0965880915     1.0965880915     1.0965880915     1.0965880915    1.15409196091    1.03736959199    1.30562385739    0.850297203665   0.928672343005   1.21450227367      1.0965880915        1.0965880915        1.0965880915        1.0965880915      1.25657312207     0.883362316243      1.0965880915       1.0965880915       1.0965880915       1.0965880915       1.0965880915        1.0965880915        1.19040868445        0.995222543714      1.14797810043       1.02535251954       1.20690720022       0.989437534142    3.56411423252   -1.28572959843    0.632315416299      1.42974405913   
    0       0.5      1.0      395.0      468.0      7.31099222417    0.193835372649    1.0      -0.1007555     -0.0       2.6    2.46034070426  -2.4628507975      2.20002495617       -0.490665879937       1.6624077669     0.00563333153781   0.849264681826    0.849264681826    2.26060558174   -0.590387793673    0.760589022879     0.929719282385    1.01771948293     0.690157595303   0.861444770459  0.845622105804   0.849264681826   0.849264681826   0.849264681826   0.849264681826   0.820640671065   0.882892677562   1.06426055964    0.628570991472   0.643337097875   1.05784350132     0.849264681826      0.849264681826      0.849264681826      0.849264681826     1.16289751414     0.530779578038     0.849264681826     0.849264681826     0.849264681826     0.849264681826     0.849264681826      0.849264681826       0.941179208424       0.757786173099       1.0134740976       0.676110503134      0.887374753961      0.805664062832     3.5065138547   -1.81298103376    0.251304101557      1.52628362286   
    0       0.5      1.0      468.0      548.0      2.77359822657    0.167459100578    1.0      -0.100959      -0.0       2.6    1.36742160347  -1.31732155574      2.3964230498       -0.311597726432      1.87713826646      0.232871242815    1.05410571635     1.05410571635     2.27591295984   -0.144706951555    0.774360457439     1.34299388914     1.23001248768     0.874598884436   1.03638472905    1.0620620609    1.05410571635    1.05410571635    1.05410571635    1.05410571635    0.990804979454   1.10906861829     1.2911019131    0.835161504294   0.982755587772   1.12720213329     1.05410571635       1.05410571635       1.05410571635       1.05410571635       1.3919320334     0.712627406522     1.05410571635      1.05410571635      1.05410571635      1.05410571635      1.05410571635       1.05410571635        1.14560919995        0.966578643714      1.18896071384       0.929319863231      1.16650682239       0.95008284423     3.64066612502   -1.53883839112    0.203108984008      1.83475087506   
    0       0.5      1.0      548.0      638.0      1.10012757922    0.127563476119    1.0      -0.1011635     -0.0       2.6    1.33161985151  -1.34895306346      2.7078307406        -0.17769290381      2.12408955858      0.37693091191      1.2508622906      1.2508622906     2.30817765544    0.206722405612     1.0508831977      1.45308728015     1.37347639349     1.13330058142     1.2442616865   1.25650893316     1.2508622906     1.2508622906     1.2508622906     1.2508622906    1.20289682046    1.30064325644    1.56866956277    0.934013473514   1.08932708545    1.41589316126      1.2508622906        1.2508622906        1.2508622906        1.2508622906      1.64453482953     0.850994227296      1.2508622906       1.2508622906       1.2508622906       1.2508622906       1.2508622906        1.2508622906        1.36373715181        1.14137857231       1.55999373246       0.940556427956      1.43772266815       1.05924938601     3.98988646041   -1.36233807704    0.277955286756      2.32118096358   
    0       0.5      1.0      638.0      737.0      0.441877972388   0.167427103983    1.0         0.0      0.1013685     2.6    2.30402085047  -2.27727943998     2.67231467964       -0.369953421957      2.09636177856       0.2522756889     1.17007865443     1.17007865443     1.97315898427    0.36938700778     0.870042500089     1.44823428982     1.26482464653     1.06927474877    1.13547789074    1.2085747112    1.17007865443    1.17007865443    1.17007865443    1.17007865443    1.11127436734    1.22892110472    1.49246349119    0.82980858254    1.06333662069    1.25251465739     1.17007865443       1.17007865443       1.17007865443       1.17007865443       1.6597088957     0.671547524018     1.17007865443      1.17007865443      1.17007865443      1.17007865443      1.17007865443       1.17007865443        1.26732225168        1.06474707354       1.45322165695       0.86771010116       1.26837281875       1.06133928668     4.01035530958   -1.72129215205   -0.192623660661      2.43966839188   
    0       0.5      1.0      737.0      846.0      0.178536042044   0.248303502618    1.0      -0.0507615  0.0507615     2.6    1.37077177886  -1.38924889017      2.8498005372       -0.295344802527      2.19864915235      0.281913365284    1.21495794577     1.21495794577     1.78538562293    0.669079679585    0.917989111069     1.56822744476     1.37268588185     1.06565943873    1.13643933677   1.28694629347    1.21495794577    1.21495794577    1.21495794577    1.21495794577    1.16993118652    1.25677882021    1.53763296721    0.935149438796   1.24108157151    1.24725978284     1.21495794577       1.21495794577       1.21495794577       1.21495794577      1.82177700199     0.650463478185     1.21495794577      1.21495794577      1.21495794577      1.21495794577      1.21495794577       1.21495794577        1.33971292844        1.10673841151       1.56801595122       0.905092096334      1.42428014163       1.03509447318     4.20832630158   -1.60424594788   -0.203544174559      2.77163361386   
    0       0.5      1.0      846.0      967.0     0.0726841618499   0.369509577848    1.0      -0.1016775  0.0508645     2.6    1.29858014633  -1.2683401417       2.7390037857       -0.461218187324      2.17987264304      0.171341464959    1.23652127566     1.23652127566     1.55067687349    0.908226341542    0.861952842194     1.51594740974     1.30104642557     1.15307201988    1.19677919792   1.28544515447    1.23652127566    1.23652127566    1.23652127566    1.23652127566    1.15173928107    1.32647762662    1.64171613102    0.754175222119   1.10483961561     1.2608417729     1.23652127566       1.23652127566       1.23652127566       1.23652127566      1.75078013807     0.652451477016     1.23652127566      1.23652127566      1.23652127566      1.23652127566      1.23652127566       1.23652127566        1.33578743238         1.1059333768       1.62163598033       0.781578211189      1.40175176276       1.02041621277     4.21679640841   -1.85103650115   -0.561639050962      2.90955517872   
    0       0.5      1.0      967.0      1101.0    0.0291362942626   0.557833620936    1.0         0.0       0.101885     2.6    1.61609447159  -1.6032091854       3.1544369708       -0.308210846787      2.31806959556      0.369766578352    1.18648866104     1.18648866104     1.33525714218    1.09125333272     0.85418353508      1.72968232358     1.28930449602     1.15508063925     1.1483625648   1.24440337587    1.18648866104    1.18648866104    1.18648866104    1.18648866104    1.08416827095    1.30593493333    1.59335350631    1.02823134184    1.36096577535    1.31092006084     1.18648866104       1.18648866104       1.18648866104       1.18648866104      1.94572760944     0.620866562055     1.18648866104      1.18648866104      1.18648866104      1.18648866104      1.18648866104       1.18648866104         1.3431234024        1.11733398778       1.65480248949       0.930040345784       1.4987883983       1.01151582498     4.56344036116   -1.68516920782   -0.660594748537      3.41889751524   
    0       0.5      1.0      1101.0     1248.0    0.0117472466792   0.845020508408    1.0      -0.0509685     -0.0       2.6    1.51013132328  -1.50943006553     2.63262344098       -0.848444714317      2.11793615463     -0.110430553539    1.20169915258     1.20169915258     1.13586970492    1.13772290664     0.657262490347     1.41043751954     1.16221657588     1.11014222154    1.11294677691   1.22233307911    1.20169915258    1.20169915258    1.20169915258    1.20169915258    1.18075830812     1.1692171716    1.47361475504    0.499313982213   0.900448901243   0.883557708367    1.20169915258       1.20169915258       1.20169915258       1.20169915258      1.90223718952     0.197311621377     1.20169915258      1.20169915258      1.20169915258      1.20169915258      1.20169915258       1.20169915258         1.2229368247        1.00315259357       1.61274995562       0.464713664899      1.42775806067       0.744950496968    4.13495729671   -2.34270562009    -1.00260503744      3.07544716235   
    0       0.5      1.0      1248.0     1410.0    0.00462901063228  1.29141693426     1.0      -0.0510725  0.0510725     2.6    1.43731813778  -1.42316921344     3.68572461692        -0.19966971915       2.8670215845      0.301648805454    1.26763962194     1.26763962194     0.887221467403   1.90087521307     0.793889546454     2.19654603147     1.46718709456     1.18734881781    1.18129419387   1.42972508934    1.26763962194    1.26763962194    1.26763962194    1.26763962194    1.45002590801    1.14882252845    2.05843001953     1.0096830657    1.90696462927    1.50914827228     1.26763962194       1.26763962194       1.26763962194       1.26763962194      2.38965567932     0.571956537227     1.26763962194      1.26763962194      1.26763962194      1.26763962194      1.26763962194       1.26763962194        1.57533616852         1.1781945096       2.06607042125       0.87734725117        1.7019441011       0.99435175786     5.32573328173   -1.7416200638     -1.31799569263      4.34451157794   
    0       0.5      1.0      1410.0     1588.0    0.00173222243567  2.03427350488     1.0         0.0         0.0        2.6    1.59489579233  -1.5812238198      3.08350748982        -1.58469341736      2.06840336602     -0.246377290999    1.18522034994     1.18522034994     0.614172640382   1.68625301688     0.623347608881     1.44690997768     1.13512641181     1.21919232495    1.34738483417   1.18601107568    1.18522034994    1.18522034994    1.18522034994    1.18522034994    1.15048725965    1.24604131681    1.49962839366    0.625394826731   0.896067397445   0.853900816129    1.18522034994       1.18522034994       1.18522034994       1.18522034994      2.04184417876    -0.109058194747     1.18522034994      1.18522034994      1.18522034994      1.18522034994      1.18522034994       1.18522034994        1.18126317155        1.17198856728        1.5915190294       0.531300986225      1.62967198222       0.993455481241    4.83841157529   -2.85947629994    -2.17126980012      4.19338698589   
    0       0.5      1.0      1588.0     1784.0   0.000636748902461   3.1758826989     1.0         0.0         0.0        2.6    1.70420720379  -1.69602802147     3.50020713729       -0.0960481614507     2.51815813889     -0.0523378864144   1.50290331065     1.50290331065    0.0564461405922   1.95897418789      0.3105504866      1.90556557148     1.81662053288     1.17316602002     0.9514092213    1.5101082476    1.50290331065    1.50290331065    1.50290331065    1.50290331065    1.80141630522    1.15449828193    1.84747263601    0.234643757481   1.40723585743    1.15196270419     1.50290331065       1.50290331065       1.50290331065       1.50290331065      2.22461146536     0.773166185196     1.50290331065      1.50290331065      1.50290331065      1.50290331065      1.50290331065       1.50290331065        1.80837696792        0.934002803809       1.6695209451       0.575868294233      1.50598941141       0.494793090496    4.67239299299   -2.86551518848    -1.15349378596      3.76185024432   
    0       0.5      1.0      1784.0     2000.0   0.000215502990548  5.35981512336     1.0         0.0         0.0        2.6    1.98207478874  -1.90011758611     4.13460966921        -3.35771479867      3.06998397271     -0.463967399758    1.43750801198     1.43750801198    0.0739501448613   2.98197312945     0.80201413708      2.81522226429     1.27643719958     1.43324851113    1.81104432671   1.48879983308    1.43750801198    1.43750801198    1.43750801198    1.43750801198    1.20753581804    1.44655077701    2.43994280895    0.867449724657   2.57490695017    0.623452088852    1.43750801198       1.43750801198       1.43750801198       1.43750801198      3.10673418888     -1.10715319664     1.43750801198      1.43750801198      1.43750801198      1.43750801198      1.43750801198       1.43750801198         1.6074075676        1.35051507416       2.97342241134       0.736534200457      2.83210913764       1.27716417738     6.64870081363   -4.71713159196    -4.12781885631      6.22289875614   
    0       0.5      1.0      2000.0     2238.0   7.16164561138e-05  8.74823491984     1.0         0.0         0.0        2.6    2.66374294799  -2.67406958735      3.3646127729        4.39593567893       4.68138290947      2.98075501484      1.9892912843      1.9892912843     2.71434603758    4.62898430791     2.50231092497       2.9039291979     2.39106461426     2.01121285519    1.95930124094   1.79042369474     1.9892912843     1.9892912843     1.9892912843     1.9892912843    2.67355735771    2.00134364779     2.872536943     2.85870002449    1.11908179021    3.80126125059      1.9892912843        1.9892912843        1.9892912843        1.9892912843      4.09775149781     2.64649355039       1.9892912843       1.9892912843       1.9892912843       1.9892912843       1.9892912843        1.9892912843         2.4412713075        1.90999913245        2.7924083214       1.90771230387       1.56075257975       1.44114193677     6.00546177207   2.81161302637     2.97803857934       6.36017044607   
    0       0.5      1.0      2238.0     2500.0   2.37486249859e-05  14.8546571989     1.0         0.0         0.0        2.6    1.97239337582  -1.8573482939      9.23239783279        -7.15478105344      2.51627328872      -4.9422602285     1.30228151032     1.30228151032     -5.69658774285    2.8758162685     -2.92796486328     2.84802581295     1.38455752231     1.28482832435     1.3111862702   2.21225825446    1.30228151032    1.30228151032    1.30228151032    1.30228151032    1.16936360196    1.29176627432    2.85530599484    -2.82882200229   4.72322661362    -1.36148905484    1.30228151032       1.30228151032       1.30228151032       1.30228151032      4.14741697021     -2.05250369809     1.30228151032      1.30228151032      1.30228151032      1.30228151032      1.30228151032       1.30228151032        1.57045580035        1.38581407287       2.92733076451       -1.43172096151      4.24125698342      0.0191727776443    12.3771808476   -10.5555718537    -9.57269307145       8.5670010473   
    0       0.5      1.0      2500.0     2787.0   4.46928034999e-06  35.0445713823     1.0         0.0         0.0        2.6    2.17747896878  -2.28005754779     -11.3416274062       -0.75827285593      -2.47353145523      5.0418310225     -1.08045720868    -1.08045720868    6.03606558086    1.15096971671     2.52919410694      -2.68689684357    -1.22102034911    -1.06036676054   -1.08733146617  -2.22780510607   -1.08045720868   -1.08045720868   -1.08045720868   -1.08045720868  -0.972756415201   -1.06848741579   -2.74298884158   2.36662700637    -8.43917543138   0.539608860239    -1.08045720868      -1.08045720868      -1.08045720868      -1.08045720868     -3.67778519432    -4.31227274521     -1.08045720868     -1.08045720868     -1.08045720868     -1.08045720868     -1.08045720868      -1.08045720868      -0.872852100465       -1.17110588372      -2.78136473271      1.85094489461       -4.18641599694     0.0363330319418    -14.3831250467  -0.80114264438    -3.17847576464      -7.27099799348  
    0       0.5      1.0      2787.0     3103.0   5.54391275884e-07  127.863401879     1.0         0.0         0.0        2.6    28.1595417888  -28.0426497864     49.7160731602        23.8356468989       33.3273973666      16.8371181254     26.9231284023     26.9231284023     15.1137520835    26.6207677118     21.1692606469      33.6800435899     27.1690341837     26.8881144052    26.9321811377    28.901765975    26.9231284023    26.9231284023    26.9231284023    26.9231284023    26.7433832347    26.9014085939    33.7671199382     21.456713824    38.5567853064    20.8544187259     26.9231284023       26.9231284023       26.9231284023       26.9231284023      31.1400729891     33.2727059181      26.9231284023      26.9231284023      26.9231284023      26.9231284023      26.9231284023       26.9231284023        26.4086023988        27.0774669593       33.8401446189       22.0166354358       32.1303363997       25.1454221424     54.6799932388   20.7179130499     11.1586076518       47.7362906017   
    0       0.5      1.0      3103.0     3450.0   3.47833786883e-06  27.3873365727     1.0        0.0        0.0       2.6        0.0          0.0         -1.04496301002       -2.5898310833       -1.08797592962     -2.0715156826      0.195798823264      -3.37545961186     -4.37848354305   -0.895379160546    -1.13606033638    -0.873067924487    0.625498859188    -3.41966350391    -4.93356801874    -2.37923576292        0.0              0.0              0.0              0.0             0.0             0.0         -1.12625033714   -0.362782799509    -2.07235340346   -0.57191210442    0.292163264768    -6.85012277921         0.0                 0.0                 0.0                 0.0                 0.0                0.0           1.79362545667     -2.50529597654          0.0                0.0                0.0                0.0               0.0               0.0                0.0                 0.0            -0.351299204109       -3.41300181685           0.0                 0.0            -0.86832607703      -1.98854082825     -0.728400842046      -3.19526858676     -4.21273817067    -6.69435084073     -9.54509678875      15.9327947073   
    0       1.0      1.5       56.0      74.0       7365.3767055     0.27004734217     1.0     0.0996017    -0.0996017    2.6     1.6867632525    1.6867632525      1.84331144016       -0.314286515042      1.39589828053      0.110543452069     0.723266342498    0.723266342498   3.92723327549    -2.20391363204    0.946859778525     0.510176117399    1.28189347736     0.180812141625   1.00040670833   0.449842964003   0.868035687099   0.587705679101   0.723266342498   0.723266342498   0.906253778944   0.541634354327  -0.00321197040274   1.48455025227    0.692129426953   0.756341581642    1.05449522458       0.409820343197      0.723266342498      0.723266342498     0.585210210967    0.865030400129     0.708669635526     0.741853212611     0.723266342498     0.723266342498     0.733641190567      0.727363569157       0.805170698978       0.657638262312      0.362911239652       1.0789864923       0.662523858031      0.801815473167     2.97562532272   -1.3024390431     2.75866532728       -1.16174615364  
    0       1.0      1.5       74.0      97.0       7365.3767055     0.27004734217     1.0     0.0996017    -0.0996017    2.6     1.6867632525    1.6867632525      1.84331144016       -0.314286515042      1.39589828053      0.110543452069     0.723266342498    0.723266342498   3.92723327549    -2.20391363204    0.946859778525     0.510176117399    1.28189347736     0.180812141625   1.00040670833   0.449842964003   0.868035687099   0.587705679101   0.723266342498   0.723266342498   0.906253778944   0.541634354327  -0.00321197040274   1.48455025227    0.692129426953   0.756341581642    1.05449522458       0.409820343197      0.723266342498      0.723266342498     0.585210210967    0.865030400129     0.708669635526     0.741853212611     0.723266342498     0.723266342498     0.733641190567      0.727363569157       0.805170698978       0.657638262312      0.362911239652       1.0789864923       0.662523858031      0.801815473167     2.97562532272   -1.3024390431     2.75866532728       -1.16174615364  
