* 'Flag',  'ylow',  'yhigh',  'pTlow',  'pThigh',       'Sigma',         'stat',      'uncor',  'nperr+',    'nperr-',   'lumi',    'unf_err+',      'unf_err-',    'AbsoluteMPFBias+',  'AbsoluteMPFBias-',  'AbsoluteScale+',  'AbsoluteScale-',  'AbsoluteStat+',  'AbsoluteStat-',   'FlavorQCD+',     'FlavorQCD-',    'Fragmentation+',  'Fragmentation-',   'PileUpDataMC+',  'PileUpDataMC-',   'PileUpPtBB+',    'PileUpPtBB-',   'PileUpPtEC1+',  'PileUpPtEC1-',  'PileUpPtEC2+',  'PileUpPtEC2-', 'PileUpPtRef+',   'PileUpPtRef-',   'RelativeBal+',  'RelativeBal-',  'RelativeFSR+',  'RelativeFSR-',  'RelativeJEREC1+',  'RelativeJEREC1-',  'RelativeJEREC2LL+',  'RelativeJEREC2LL-',  'RelativePtBB+',  'RelativePtBB-',  'RelativePtEC1+',  'RelativePtEC1-',  'RelativePtEC2+',  'RelativePtEC2-',  'RelativeStatEC+',  'RelativeStatEC-',  'RelativeStatFSR+',  'RelativeStatFSR-',  'SinglePionECAL+',  'SinglePionECAL-',  'SinglePionHCAL+',  'SinglePionHCAL-',  'TimePtEta+',  'TimePtEta-',   'RelativeSample+',  'RelativeSample-' 
    0       0.0      0.5      548.0      638.0      1.25914741927    0.109286023661    1.0        0.0        0.050505     2.6    0.483901894637  -0.455671473139     1.40829301107        -1.39498687312      0.856925627807    -0.858695757479         0.0               0.0          1.02237696594     -1.00539557152    -0.186992959386     0.200674373714     0.200614074219   -0.199923388166   0.0710496593993   -0.0635974630988        0.0              0.0              0.0              0.0        -0.0453191998884  0.0547109005351    1.05987679201    -1.04697062178   0.239538758266  -0.255696687731         0.0                 0.0                 0.0                 0.0           0.40422277978    -0.409472818053          0.0                0.0                0.0                0.0                0.0                 0.0             0.103741343296      -0.104683405074      0.330346845981      -0.3193144584       0.18286554184      -0.188295983033    2.52260763147  -2.45523428909    0.247769733267     -0.230092019494  
    0       0.0      0.5      638.0      737.0      0.509508856293   0.143787809327    1.0     -0.050556     0.050556     2.6    0.579413444137  -0.564407466456     1.46705854343        -1.47583407215      0.893707036211    -0.886917355535         0.0               0.0          0.72662701846    -0.731872117309    -0.300557213118     0.271860761633     0.120933321288   -0.127369956882   -0.0398514254012  0.0313140551588         0.0              0.0              0.0              0.0        -0.0595661869122  0.0494569711221    1.09223351422    -1.10110404487   0.469730930335  -0.456802013704         0.0                 0.0                 0.0                 0.0           0.489372239797   -0.478773792656          0.0                0.0                0.0                0.0                0.0                 0.0            0.0976755074371      -0.103677262078      0.237768935004     -0.259389558759     0.0882730670149     -0.0900783111117   2.64065116442  -2.64238181729    0.121987331961     -0.139925786585  
    0       0.0      0.5      737.0      846.0      0.209334640313   0.210706339743    1.0     -0.0506075    0.101266     2.6    0.562483285506  -0.500386040038     1.56255913862        -1.49158143342      0.930453025255    -0.931264507152         0.0               0.0          0.531359338465   -0.527227938145     -0.29103353047     0.328331370514    0.0800547557082   -0.0774778004329  -0.0410139385918  0.0354009537501         0.0              0.0              0.0              0.0        -0.0389614782679  0.0311202291288    1.11605410725    -1.07938842826   0.672702955473  -0.717925131666         0.0                 0.0                 0.0                 0.0           0.538082901042    -0.57308358497          0.0                0.0                0.0                0.0                0.0                 0.0             0.109836629914      -0.105882693934      0.382349283437     -0.358068099601      0.199588140571     -0.192404613072    2.80694940647  -2.69208121466   0.0466783795633     -0.026400482621  
    0       0.0      0.5      846.0      967.0      0.087126128431    0.3084829531     1.0     -0.1013685    0.05071      2.6    0.494370530762   -0.53100748719     1.49839523752        -1.48143087734      0.924534065681    -0.872650429617         0.0               0.0          0.304564093366   -0.295605375589    -0.356177618503     0.306854090901     0.173239072117   -0.159131954842   -0.0321701861806  0.0422547572924         0.0              0.0              0.0              0.0        -0.0929264999308   0.113059034471    1.13149601625    -1.09482743305   0.802533121385  -0.740639040629         0.0                 0.0                 0.0                 0.0           0.553748496058   -0.517358316485          0.0                0.0                0.0                0.0                0.0                 0.0             0.103488953567      -0.0945709797425     0.337814374799      -0.36628543042      0.183802966425     -0.192503719742    2.77056775696  -2.70910573192   -0.0908328716263    0.0887997128587  
    0       0.0      0.5      967.0      1101.0    0.0358119490179   0.457157762048    1.0     -0.101523     0.101523     2.6    0.588419091738  -0.505156849736      1.7246270128        -1.76257661891      1.01760226685      -1.06342269167         0.0               0.0          0.110213386909   -0.0920413656745   -0.349355148799     0.418536673859     0.111172744536   -0.116395250764   -0.114779541792    0.123742795199         0.0              0.0              0.0              0.0         -0.10277444615   0.0971655119073    1.25068316856    -1.31879847647   1.10391739653    -1.10054103341         0.0                 0.0                 0.0                 0.0           0.707716404142   -0.722705793839          0.0                0.0                0.0                0.0                0.0                 0.0             0.148819493228      -0.148545919498      0.405808212315     -0.380322161456      0.259239779169     -0.210863316446    3.12769038747  -3.14640134636   -0.221688991586      0.182630002775  
    0       0.0      0.5      1101.0     1248.0    0.0146406883167   0.683944937204    1.0     -0.1016775   0.1016775     2.6    0.651966582894  -0.650083167651     1.74119666427         -1.752620942       1.01914991189      -1.07897564072         0.0               0.0         -0.0960676499384  0.0165365775597    -0.505298045973     0.38097141845    -0.00402062639052  -0.0259866152056  -0.111247634408   0.0760795360997         0.0              0.0              0.0              0.0        0.0142899048313   -0.0434015774429    1.2529400227    -1.27304040491   1.27800394629    -1.46004959139         0.0                 0.0                 0.0                 0.0           0.797650480731   -0.788405056856          0.0                0.0                0.0                0.0                0.0                 0.0            0.0759622516328      -0.109479198465      0.514838484914      -0.57155053667      0.304571933591     -0.437421352217    3.25061812039  -3.11830995149   -0.252582093057      0.300681427631  
    0       0.0      0.5      1248.0     1410.0    0.00605902645774  1.01288497883     1.0     -0.101781     0.101781     2.6    0.574848252303  -0.562748724816     1.66929200505        -1.54639491049      1.13073331519      -1.00408686603         0.0               0.0         -0.294077111699    0.459402762252    -0.389836799311     0.578073711527     0.142063801259   -0.0718550206221  -0.111239009628    0.182824732898         0.0              0.0              0.0              0.0         0.133288307888   -0.0629202837832   1.44640156795    -1.37979543245    1.606861208     -1.21020326437         0.0                 0.0                 0.0                 0.0           0.688827401743    -0.76594103141          0.0                0.0                0.0                0.0                0.0                 0.0             0.182470262242      -0.123232877655      0.550919715442     -0.416268354765      0.257650730872     -0.112134950106    3.16573840347  -3.24703366938    -0.50811898009      0.468952320124  
    0       0.0      0.5      1410.0     1588.0    0.00246399074564  1.50752647209     1.0     -0.1528015    0.101885     2.6    0.605227132912  -0.581555004524      2.0871044778        -2.06983997367      1.10565378746      -1.20334347155         0.0               0.0         -0.713021823933    0.503652492752    -0.721892966118     0.472757543416    0.00937771087204   -0.11806152586   -0.301762760625    0.149657285245         0.0              0.0              0.0              0.0        0.0144586821108   -0.123255731952    1.38076615579    -1.45017709418   1.82896099303    -2.08022610836         0.0                 0.0                 0.0                 0.0           1.17996357182    -0.995191281083          0.0                0.0                0.0                0.0                0.0                 0.0            0.0796400783124      -0.153865367285      0.492108739001     -0.678899197777      0.35346268393      -0.532444261738    3.81815279211  -4.01689739798   -0.552330482096      0.641585221478  
    0       0.0      0.5      1588.0     1784.0   0.000921424598647  2.39156107684     1.0        0.0          0.0        2.6    0.801996385582  -0.748223588207     1.82915969112        -1.5991988325       1.13190895387     -0.694905938403         0.0               0.0         -0.340390517391    0.87190023197     -0.502777576146     0.69405910337      0.216482121945   0.0975969797476   0.0492299940624    0.344639931478         0.0              0.0              0.0              0.0         0.213412322734    0.10078863565     1.43705430383    -1.03658722321   2.14129315823    -1.59447339091         0.0                 0.0                 0.0                 0.0           0.672738803298   -0.821432438507          0.0                0.0                0.0                0.0                0.0                 0.0             0.375594608164      0.00486930088548     0.483049194859     -0.355381780456      0.479752429724     -0.273483284045    4.10944626479  -2.67138560424    -0.57912366042      0.661789904379  
    0       0.0      0.5      1784.0     2000.0   0.000356431591528  3.61631316986     1.0        0.0          0.0        2.6    0.661008559467  -0.658476539421      2.6857379136        -3.31756296259      1.35135167376      -2.04450618045         0.0               0.0          -1.95379769984    0.986272215168    -0.456591178468     0.651002598058    -0.304948023942   -0.196484620707   -0.454552327055   0.0567409070469         0.0              0.0              0.0              0.0        -0.303119663555    -0.19827650642    2.24507647533    -3.01049720239   2.34598214777    -3.69204975055         0.0                 0.0                 0.0                 0.0           1.43566255386     -1.18562292056          0.0                0.0                0.0                0.0                0.0                 0.0            -0.245753436358      -0.295271976092      0.848216210878     -0.616937234226      0.339561875093     -0.283431262689    3.33004124555  -4.72271250135   -0.894854688736      0.731996525694  
