       0       0     0.5     548     638      1.2905    0.10    1.00    0.00    0.05    2.60    0.00    0.00    0.86   -0.79    1.42   -1.33   -0.16    0.15    0.33   -0.33    0.14   -0.15    0.90   -0.85    2.51   -2.40    0.00    0.00    0.00    0.00    0.00    0.00    0.39   -0.37    0.00    0.00    0.00    0.00    0.00    0.00    1.08   -1.01    0.18   -0.17    0.31   -0.27    0.09   -0.09    0.00    0.00    0.00    0.00    0.19   -0.19   -0.05    0.05    0.07   -0.07    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.04    0.31   -0.30    0.52   -0.50   -0.00    0.00
       0       0     0.5     638     737     0.53072    0.13    1.00   -0.05    0.05    2.60    0.00    0.00    0.90   -0.95    1.48   -1.54   -0.40    0.39    0.24   -0.24    0.09   -0.10    0.60   -0.63    2.69   -2.68    0.00    0.00    0.00    0.00    0.00    0.00    0.56   -0.58    0.00    0.00    0.00    0.00    0.00    0.00    1.07   -1.14    0.07   -0.10    0.58   -0.64    0.11   -0.12    0.00    0.00    0.00    0.00    0.08   -0.08   -0.05    0.05   -0.10    0.11    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.04    0.39   -0.39    0.46   -0.46   -0.00    0.00
       0       0     0.5     737     846     0.21983    0.19    1.00   -0.05    0.10    2.60    0.00    0.00    0.92   -0.84    1.52   -1.39   -0.17    0.19    0.43   -0.42    0.27   -0.26    0.46   -0.42    2.77   -2.64    0.00    0.00    0.00    0.00    0.00    0.00    0.50   -0.47    0.00    0.00    0.00    0.00    0.00    0.00    1.11   -1.00    0.01    0.03    0.72   -0.63    0.09   -0.09    0.00    0.00    0.00    0.00    0.11   -0.11   -0.04    0.05    0.02   -0.03    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.04    0.49   -0.48    0.48   -0.50   -0.00    0.00
       0       0     0.5     846     967    0.092695    0.28    1.00   -0.10    0.05    2.60    0.00    0.00    0.95   -0.93    1.56   -1.59   -0.49    0.47    0.28   -0.27    0.12   -0.13    0.11   -0.14    2.82   -2.81    0.00    0.00    0.00    0.00    0.00    0.00    0.67   -0.66    0.00    0.00    0.00    0.00    0.00    0.00    1.17   -1.20   -0.17    0.15    0.91   -0.93    0.13   -0.12    0.00    0.00    0.00    0.00    0.18   -0.17   -0.14    0.13   -0.12    0.13    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.04    0.60   -0.60    0.41   -0.45   -0.00    0.00
       0       0     0.5     967    1101    0.038601    0.42    1.00   -0.10    0.10    2.60    0.00    0.00    1.00   -1.11    1.63   -1.68   -0.27    0.31    0.55   -0.57    0.35   -0.31    0.17   -0.13    3.05   -3.01    0.00    0.00    0.00    0.00    0.00    0.00    0.66   -0.71    0.00    0.00    0.00    0.00    0.00    0.00    1.18   -1.24   -0.19    0.21    1.16   -1.21    0.11   -0.08    0.00    0.00    0.00    0.00    0.02   -0.02   -0.02    0.03   -0.04    0.05    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.04    0.73   -0.72    0.44   -0.52   -0.00    0.00
       0       0     0.5    1101    1248    0.015999    0.63    1.00   -0.10    0.10    2.60    0.00    0.00    1.09   -0.97    1.68   -1.82   -0.64    0.53    0.43   -0.49    0.29   -0.39   -0.38    0.30    3.08   -3.32    0.00    0.00    0.00    0.00    0.00    0.00    0.83   -0.81    0.00    0.00    0.00    0.00    0.00    0.00    1.35   -1.36   -0.52    0.41    1.38   -1.48    0.12   -0.18    0.00    0.00    0.00    0.00    0.07   -0.09    0.07   -0.10   -0.19    0.15    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.04    0.87   -0.85    0.40   -0.49   -0.00    0.00
       0       0     0.5    1248    1410   0.0067067    0.93    1.00   -0.10    0.10    2.60    0.00    0.00    1.04   -1.06    1.87   -1.47   -0.28    0.44    0.55   -0.44    0.27   -0.10   -0.30    0.39    3.73   -2.96    0.00    0.00    0.00    0.00    0.00    0.00    0.87   -0.74    0.00    0.00    0.00    0.00    0.00    0.00    1.33   -1.23   -0.26    0.46    1.64   -1.34    0.13   -0.00    0.00    0.00    0.00    0.00    0.06   -0.02    0.06   -0.02   -0.10    0.18    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.04    1.02   -1.00    0.43   -0.53   -0.00    0.00
       0       0     0.5    1410    1588   0.0027705    1.39    1.00   -0.15    0.10    2.60    0.00    0.00    1.26   -1.20    2.09   -2.20   -0.65    0.76    0.58   -0.42    0.48   -0.51   -0.66    0.90    3.70   -3.57    0.00    0.00    0.00    0.00    0.00    0.00    0.98   -0.98    0.00    0.00    0.00    0.00    0.00    0.00    1.78   -1.55   -0.75    0.83    2.26   -2.12    0.18   -0.26    0.00    0.00    0.00    0.00    0.09   -0.07    0.09   -0.07   -0.15    0.22    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.04    1.19   -1.16    0.38   -0.44   -0.00    0.00
       0       0     0.5    1588    1784   0.0010714    2.16    1.00    0.00    0.00    2.60    0.00    0.00    0.74   -1.15    1.59   -1.72   -0.59    0.08    0.17   -0.67    0.08   -0.34   -1.07    0.53    3.07   -3.92    0.00    0.00    0.00    0.00    0.00    0.00    0.77   -1.12    0.00    0.00    0.00    0.00    0.00    0.00    0.85   -1.72   -0.75    0.36    1.39   -2.18   -0.03   -0.05    0.00    0.00    0.00    0.00   -0.02   -0.10   -0.02   -0.10   -0.36   -0.02    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.04    1.38   -1.34    0.61   -0.59   -0.00    0.00
       0       0     0.5    1784    2000  0.00040483    3.40    1.00    0.00    0.00    2.60    0.00    0.00    2.15   -2.01    2.70   -3.08   -1.09    1.55    1.54   -1.25    1.21   -0.75   -1.77    1.86    4.09   -3.72    0.00    0.00    0.00    0.00    0.00    0.00    1.76   -1.58    0.00    0.00    0.00    0.00    0.00    0.00    2.98   -2.33   -1.49    1.66    3.48   -2.94    0.45   -0.38    0.00    0.00    0.00    0.00    0.27   -0.21    0.27   -0.21   -0.46    0.88    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.04    1.58   -1.53    0.69   -0.59   -0.00    0.00
