       0     0.5       1     174     220      553.65    0.26    1.00   -0.05    0.05    2.60    0.00    0.00    0.76   -0.71    1.17   -1.17    0.11   -0.10   -0.12    0.13    0.00    0.00    2.45   -2.37    2.36   -2.23    0.00    0.00    0.00    0.00    0.00    0.00    0.05   -0.02    0.00    0.00    0.00    0.00    0.00    0.00    0.16   -0.12    0.17   -0.19   -0.26    0.27    0.08   -0.07    0.00    0.00    0.00    0.00    0.36   -0.33    0.10   -0.10    0.09   -0.09    0.00    0.00    0.00    0.00    0.00    0.00   -0.51    0.51    0.16   -0.16    0.81   -0.94   -0.01    0.01
       0     0.5       1     220     272      168.41    0.30    1.00   -0.05    0.05    2.60    0.00    0.00    0.70   -0.80    1.29   -1.29   -0.04    0.01    0.02   -0.05   -0.04    0.04    2.13   -2.04    2.33   -2.33    0.00    0.00    0.00    0.00    0.00    0.00    0.10   -0.12    0.00    0.00    0.00    0.00    0.00    0.00    0.17   -0.22   -0.03    0.03   -0.20    0.18    0.08   -0.10    0.00    0.00    0.00    0.00    0.27   -0.32    0.05   -0.07    0.06   -0.07    0.00    0.00    0.00    0.00    0.00    0.00    0.01   -0.01    0.14   -0.14    0.71   -0.87   -0.00    0.00
       0     0.5       1     272     330       56.23    0.29    1.00   -0.10    0.05    2.60    0.00    0.00    0.79   -0.73    1.24   -1.24   -0.06    0.08    0.08   -0.05    0.03   -0.03    1.76   -1.79    2.33   -2.35    0.00    0.00    0.00    0.00    0.00    0.00    0.17   -0.16    0.00    0.00    0.00    0.00    0.00    0.00    0.24   -0.18   -0.33    0.33   -0.23    0.24    0.10   -0.09    0.00    0.00    0.00    0.00    0.25   -0.22   -0.01    0.02    0.08   -0.07    0.00    0.00    0.00    0.00    0.00    0.00   -0.19    0.19    0.15   -0.15    0.61   -0.73   -0.01    0.00
       0     0.5       1     330     395      19.844    0.22    1.00   -0.10   -0.00    2.60    0.00    0.00    0.75   -0.81    1.27   -1.26   -0.12    0.10    0.11   -0.13    0.11   -0.11    1.54   -1.49    2.45   -2.44    0.00    0.00    0.00    0.00    0.00    0.00    0.25   -0.26    0.00    0.00    0.00    0.00    0.00    0.00    0.18   -0.24   -0.44    0.48   -0.14    0.13    0.10   -0.10    0.00    0.00    0.00    0.00    0.21   -0.21    0.05   -0.06   -0.01    0.01    0.00    0.00    0.00    0.00    0.00    0.00   -0.10    0.10    0.17   -0.17    0.66   -0.80   -0.00    0.00
       0     0.5       1     395     468      7.3838    0.19    1.00   -0.10   -0.00    2.60    0.00    0.00    0.84   -0.80    1.37   -1.37   -0.15    0.16    0.15   -0.14    0.03   -0.04    1.30   -1.33    2.70   -2.56    0.00    0.00    0.00    0.00    0.00    0.00    0.32   -0.32    0.00    0.00    0.00    0.00    0.00    0.00    0.23   -0.20   -0.73    0.74   -0.19    0.19    0.08   -0.09    0.00    0.00    0.00    0.00    0.15   -0.16   -0.07    0.08    0.01   -0.01    0.00    0.00    0.00    0.00    0.00    0.00   -0.12    0.12    0.19   -0.19    0.58   -0.68   -0.00    0.00
       0     0.5       1     468     548      2.8483    0.14    1.00   -0.10   -0.00    2.60    0.00    0.00    0.80   -0.85    1.33   -1.38   -0.27    0.26    0.22   -0.22    0.17   -0.15    1.09   -1.07    2.49   -2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.37   -0.38    0.00    0.00    0.00    0.00    0.00    0.00    0.26   -0.28   -0.93    0.89   -0.08    0.07    0.10   -0.09    0.00    0.00    0.00    0.00    0.16   -0.14   -0.04    0.05   -0.01    0.02    0.00    0.00    0.00    0.00    0.00    0.00   -0.10    0.10    0.23   -0.23    0.59   -0.70   -0.00    0.00
       0     0.5       1     548     638      1.1365    0.11    1.00   -0.10   -0.00    2.60    0.00    0.00    0.87   -0.84    1.44   -1.38   -0.16    0.17    0.34   -0.34    0.16   -0.16    0.90   -0.90    2.70   -2.54    0.00    0.00    0.00    0.00    0.00    0.00    0.42   -0.41    0.00    0.00    0.00    0.00    0.00    0.00    0.33   -0.32   -1.07    1.12   -0.19    0.21    0.10   -0.11    0.00    0.00    0.00    0.00    0.08   -0.09   -0.06    0.06   -0.01    0.01    0.00    0.00    0.00    0.00    0.00    0.00   -0.10    0.10    0.28   -0.28    0.54   -0.62   -0.00    0.00
       0     0.5       1     638     737     0.46002    0.15    1.00    0.00    0.10    2.60    0.00    0.00    0.91   -0.93    1.50   -1.53   -0.40    0.39    0.23   -0.24    0.08   -0.08    0.60   -0.58    2.83   -2.87    0.00    0.00    0.00    0.00    0.00    0.00    0.54   -0.56    0.00    0.00    0.00    0.00    0.00    0.00    0.24   -0.26   -1.42    1.41    0.03   -0.07    0.10   -0.10    0.00    0.00    0.00    0.00    0.14   -0.13   -0.04    0.04   -0.06    0.06    0.00    0.00    0.00    0.00    0.00    0.00   -0.10    0.10    0.35   -0.35    0.53   -0.61   -0.00    0.00
       0     0.5       1     737     846     0.18724    0.22    1.00   -0.05    0.05    2.60    0.00    0.00    0.91   -0.93    1.52   -1.50   -0.19    0.20    0.45   -0.44    0.29   -0.29    0.45   -0.46    2.90   -2.78    0.00    0.00    0.00    0.00    0.00    0.00    0.54   -0.52    0.00    0.00    0.00    0.00    0.00    0.00    0.44   -0.43   -1.56    1.55   -0.09    0.12    0.12   -0.12    0.00    0.00    0.00    0.00    0.11   -0.12   -0.07    0.06   -0.08    0.07    0.00    0.00    0.00    0.00    0.00    0.00   -0.09    0.09    0.42   -0.42    0.55   -0.62   -0.00    0.00
       0     0.5       1     846     967    0.077412    0.33    1.00   -0.10    0.05    2.60    0.00    0.00    1.04   -0.92    1.65   -1.56   -0.47    0.47    0.25   -0.26    0.10   -0.10    0.14   -0.12    3.05   -2.94    0.00    0.00    0.00    0.00    0.00    0.00    0.60   -0.56    0.00    0.00    0.00    0.00    0.00    0.00    0.23   -0.17   -1.68    1.88    0.05   -0.04    0.11   -0.12    0.00    0.00    0.00    0.00    0.05   -0.06   -0.11    0.12   -0.03    0.03    0.00    0.00    0.00    0.00    0.00    0.00   -0.09    0.09    0.51   -0.51    0.51   -0.57   -0.00    0.00
       0     0.5       1     967    1101    0.031342    0.49    1.00    0.00    0.10    2.60    0.00    0.00    0.93   -1.17    1.66   -1.90   -0.38    0.34    0.64   -0.68    0.40   -0.43    0.04   -0.10    3.02   -3.15    0.00    0.00    0.00    0.00    0.00    0.00    0.71   -0.86    0.00    0.00    0.00    0.00    0.00    0.00    0.49   -0.66   -2.28    2.07   -0.16    0.08    0.15   -0.11    0.00    0.00    0.00    0.00    0.06   -0.05   -0.05    0.05   -0.07    0.08    0.00    0.00    0.00    0.00    0.00    0.00   -0.09    0.09    0.61   -0.60    0.57   -0.63   -0.00    0.00
       0     0.5       1    1101    1248     0.01275    0.74    1.00   -0.05   -0.00    2.60    0.00    0.00    1.16   -0.84    1.80   -1.38   -0.42    0.52    0.35   -0.26    0.20   -0.17   -0.12    0.23    3.35   -2.93    0.00    0.00    0.00    0.00    0.00    0.00    0.85   -0.67    0.00    0.00    0.00    0.00    0.00    0.00    0.35   -0.09   -1.77    2.29    0.38   -0.25    0.04   -0.15    0.00    0.00    0.00    0.00    0.04   -0.10    0.08   -0.13   -0.07    0.05    0.00    0.00    0.00    0.00    0.00    0.00   -0.09    0.09    0.72   -0.71    0.54   -0.59   -0.00    0.00
       0     0.5       1    1248    1410    0.005111    1.11    1.00   -0.05    0.05    2.60    0.00    0.00    1.19   -1.33    2.00   -2.16   -0.51    0.55    0.76   -0.69    0.37   -0.37   -0.66    0.68    3.33   -3.44    0.00    0.00    0.00    0.00    0.00    0.00    0.93   -0.93    0.00    0.00    0.00    0.00    0.00    0.00    0.52   -0.75   -3.36    2.64   -0.21    0.26    0.27   -0.09    0.00    0.00    0.00    0.00    0.14   -0.05    0.12   -0.03    0.01    0.06    0.00    0.00    0.00    0.00    0.00    0.00   -0.08    0.08    0.84   -0.83    0.54   -0.58   -0.00    0.00
       0     0.5       1    1410    1588    0.001933    1.75    1.00    0.00    0.00    2.60    0.00    0.00    1.04   -1.41    2.01   -2.29   -0.92    0.59    0.26   -0.62    0.51   -0.56   -0.88    0.37    4.14   -4.03    0.00    0.00    0.00    0.00    0.00    0.00    0.97   -1.40    0.00    0.00    0.00    0.00    0.00    0.00    0.56   -0.48   -2.65    3.35    0.59   -0.72    0.05   -0.28    0.00    0.00    0.00    0.00    0.06   -0.06    0.06   -0.09   -0.10   -0.02    0.00    0.00    0.00    0.00    0.00    0.00   -0.08    0.08    0.98   -0.96    0.72   -0.78   -0.00    0.00
       0     0.5       1    1588    1784  0.00072776    2.70    1.00    0.00    0.00    2.60    0.00    0.00    1.98   -0.48    2.47   -0.94   -0.08    0.92    1.08   -0.27    0.35   -0.04   -0.42    1.88    4.44   -2.57    0.00    0.00    0.00    0.00    0.00    0.00    1.60   -0.31    0.00    0.00    0.00    0.00    0.00    0.00    0.67   -0.53   -2.23    3.36   -0.34    0.59    0.15    0.28    0.00    0.00    0.00    0.00    0.04   -0.04   -0.01    0.06    0.21    0.08    0.00    0.00    0.00    0.00    0.00    0.00   -0.08    0.08    1.13   -1.11    0.49   -0.50    0.00   -0.00
       0     0.5       1    1784    2000  0.00025275    4.48    1.00    0.00    0.00    2.60    0.00    0.00    0.11   -3.39    0.86   -5.27   -1.74    0.31    0.20   -1.70    0.32   -1.51   -3.17   -0.32    2.60   -7.19    0.00    0.00    0.00    0.00    0.00    0.00   -0.43   -2.79    0.00    0.00    0.00    0.00    0.00    0.00    0.54   -1.73   -6.75    2.55    0.10   -1.45    0.02   -0.93    0.00    0.00    0.00    0.00    0.10   -0.27    0.12   -0.41   -0.65   -0.00    0.00    0.00    0.00    0.00    0.00    0.00   -0.07    0.07    1.30   -1.26    1.03   -1.14    0.00   -0.00
       0     0.5       1    2000    2238  8.3856e-05    7.35    1.00    0.00    0.00    2.60    0.00    0.00    3.57    0.89    5.97    1.11    0.75    1.87    1.94    0.74    1.29    1.50    0.29    4.73    5.98   -1.65    0.00    0.00    0.00    0.00    0.00    0.00    4.41   -0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.99    1.78   -0.26    7.00    0.67    0.90    1.51    0.81    0.00    0.00    0.00    0.00   -0.03    0.15    0.29    0.39    1.37    0.60    0.00    0.00    0.00    0.00    0.00    0.00   -0.13    0.13    1.48   -1.43    0.47   -0.42   -0.00    0.00
       0     0.5       1    2238    2500  3.0493e-05   11.09    1.00    0.00    0.00    2.60    0.00    0.00    1.14   -4.69    0.72   -5.82   -3.10    0.33    0.28   -2.62    0.73   -3.04   -3.89    0.69    7.04   -5.93    0.00    0.00    0.00    0.00    0.00    0.00   -0.19   -3.32    0.00    0.00    0.00    0.00    0.00    0.00    1.18   -3.01   -7.29    4.24    1.91   -1.87   -0.94   -1.59    0.00    0.00    0.00    0.00    0.02   -0.08   -0.18   -0.67   -1.17   -1.47    0.00    0.00    0.00    0.00    0.00    0.00    0.07   -0.07    1.69   -1.63    0.70   -0.90    0.00   -0.00
       0     0.5       1    2500    2787  4.0191e-06   38.17    1.00    0.00    0.00    2.60    0.00    0.00    9.40    5.71   10.90    0.88    3.71    5.46    5.54    2.88    0.22    3.54   -0.04   10.07    3.33   -1.53    0.00    0.00    0.00    0.00    0.00    0.00    6.46   -0.26    0.00    0.00    0.00    0.00    0.00    0.00    5.63    2.77   -8.73    7.87   -0.95   12.19    1.53    5.38    0.00    0.00    0.00    0.00   -0.02    0.13    0.31    1.11    1.91    2.44    0.00    0.00    0.00    0.00    0.00    0.00   -1.59    1.59    3.39   -3.18    4.09   -3.98   -0.07    0.07
       0     0.5       1    2787    3103           0    0.00    1.00    0.00    0.00    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0     0.5       1    3103    3450           0    0.00    1.00    0.00    0.00    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0       1     1.5      56      74           0    0.00    1.00    0.10   -0.10    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0       1     1.5      74      97           0    0.00    1.00    0.10   -0.10    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0       1     1.5      97     133        7794    0.30    1.00    0.10   -0.10    2.60    0.00    0.00    0.70   -0.70    1.15   -1.12    0.28   -0.29   -0.38    0.38   -0.10    0.13    3.38   -3.20    2.09   -2.00    0.33   -0.31    0.00    0.00    0.00    0.00   -0.12    0.14   -0.01    0.01    0.00    0.00    0.00    0.00   -0.75    0.76    2.03   -2.03   -0.02    0.03    0.10   -0.09    0.01   -0.04    0.00    0.00    0.60   -0.58    0.17   -0.17    0.29   -0.28    0.12   -0.13    0.00    0.00    0.00    0.00   -4.60    4.60    3.72   -3.46    3.25   -2.93   -0.07    0.07
       0       1     1.5     133     174      1811.5    0.39    1.00    0.10   -0.10    2.60    0.00    0.00    0.70   -0.68    1.15   -1.19    0.14   -0.11   -0.12    0.13   -0.08    0.06    2.72   -2.77    2.32   -2.44    0.23   -0.21    0.00    0.00    0.00    0.00   -0.06    0.04   -0.00    0.01    0.00    0.00    0.00    0.00   -0.26    0.31    1.04   -0.98    0.01   -0.03    0.08   -0.09    0.09   -0.04    0.00    0.00    0.38   -0.35    0.14   -0.11    0.08   -0.08    0.03   -0.01    0.00    0.00    0.00    0.00    2.06   -2.06    0.30   -0.30    1.06   -5.69   -0.03    0.04
       0       1     1.5     174     220      483.28    0.33    1.00    0.10   -0.10    2.60    0.00    0.00    0.77   -0.78    1.21   -1.28    0.10   -0.13   -0.14    0.12    0.01    0.00    2.36   -2.34    2.29   -2.33    0.25   -0.34    0.00    0.00    0.00    0.00    0.10   -0.11    0.01   -0.03    0.00    0.00    0.00    0.00   -0.20    0.09    0.33   -0.43    0.07   -0.09    0.08   -0.12    0.09   -0.13    0.00    0.00    0.27   -0.32    0.10   -0.14    0.01   -0.02   -0.01    0.00    0.00    0.00    0.00    0.00   -0.80    0.80    0.23   -0.23    1.69   -1.61   -0.01    0.01
       0       1     1.5     220     272      146.74    0.39    1.00    0.10   -0.10    2.60    0.00    0.00    0.69   -0.72    1.20   -1.22   -0.03    0.04    0.05   -0.05   -0.05    0.04    2.02   -2.04    2.49   -2.42    0.24   -0.17    0.00    0.00    0.00    0.00    0.08   -0.12    0.00    0.02    0.00    0.00    0.00    0.00    0.04   -0.01   -0.16    0.18    0.12   -0.10    0.10   -0.08    0.12   -0.08    0.00    0.00    0.23   -0.23    0.05   -0.03   -0.07    0.05   -0.03    0.03    0.00    0.00    0.00    0.00    0.21   -0.21    0.21   -0.21    1.36   -2.10   -0.01    0.01
       0       1     1.5     272     330      46.919    0.37    1.00    0.10   -0.10    2.60    0.00    0.00    0.88   -0.86    1.38   -1.37   -0.07    0.08    0.07   -0.06    0.06   -0.05    1.98   -1.90    2.77   -2.66    0.19   -0.22    0.00    0.00    0.00    0.00    0.24   -0.19    0.03   -0.03    0.00    0.00    0.00    0.00    0.31   -0.36   -0.94    0.90    0.14   -0.15    0.12   -0.11    0.12   -0.13    0.00    0.00    0.21   -0.19   -0.02    0.01   -0.09    0.10   -0.06    0.04    0.00    0.00    0.00    0.00   -0.25    0.25    0.22   -0.22    1.41   -1.31   -0.01    0.01
       0       1     1.5     330     395      16.259    0.28    1.00    0.10   -0.10    2.60    0.00    0.00    0.76   -0.76    1.31   -1.28   -0.07    0.09    0.11   -0.09    0.08   -0.08    1.55   -1.53    2.43   -2.47    0.17   -0.18    0.00    0.00    0.00    0.00    0.20   -0.21   -0.00    0.01    0.00    0.00    0.00    0.00    0.50   -0.48   -1.31    1.34    0.15   -0.17    0.08   -0.07    0.11   -0.13    0.00    0.00    0.13   -0.11    0.06   -0.06   -0.13    0.13   -0.04    0.06    0.00    0.00    0.00    0.00   -0.03    0.03    0.24   -0.24    1.28   -1.33   -0.01    0.01
       0       1     1.5     395     468      5.9669    0.25    1.00    0.10   -0.10    2.60    0.00    0.00    0.91   -0.88    1.45   -1.43   -0.21    0.19    0.17   -0.18    0.06   -0.07    1.36   -1.33    2.79   -2.68    0.20   -0.19    0.00    0.00    0.00    0.00    0.37   -0.37    0.04   -0.05    0.00    0.00    0.00    0.00    0.66   -0.64   -1.91    1.93    0.24   -0.22    0.13   -0.14    0.17   -0.16    0.00    0.00    0.16   -0.16   -0.10    0.09   -0.16    0.17   -0.07    0.05    0.00    0.00    0.00    0.00   -0.09    0.09    0.27   -0.27    1.11   -0.98   -0.00    0.00
       0       1     1.5     468     548      2.2359    0.21    1.00    0.10   -0.15    2.60    0.00    0.00    0.83   -0.88    1.39   -1.44   -0.26    0.26    0.23   -0.23    0.17   -0.16    1.12   -1.13    2.54   -2.66    0.16   -0.15    0.00    0.00    0.00    0.00    0.35   -0.39    0.02   -0.02    0.00    0.00    0.00    0.00    0.81   -0.87   -2.52    2.38    0.24   -0.25    0.10   -0.09    0.18   -0.18    0.00    0.00    0.08   -0.08   -0.03    0.03   -0.10    0.10   -0.04    0.06    0.00    0.00    0.00    0.00   -0.06    0.06    0.31   -0.30    1.18   -1.06   -0.00    0.00
       0       1     1.5     548     638     0.86009    0.17    1.00    0.10   -0.10    2.60    0.00    0.00    0.97   -0.90    1.57   -1.47   -0.18    0.20    0.38   -0.37    0.17   -0.18    0.96   -0.92    2.83   -2.64    0.15   -0.15    0.00    0.00    0.00    0.00    0.53   -0.48    0.02   -0.02    0.00    0.00    0.00    0.00    1.24   -1.15   -2.97    3.16    0.25   -0.23    0.13   -0.12    0.15   -0.14    0.00    0.00    0.15   -0.14   -0.06    0.06   -0.14    0.15   -0.04    0.03    0.00    0.00    0.00    0.00   -0.07    0.07    0.35   -0.35    1.07   -0.95   -0.00    0.00
       0       1     1.5     638     737     0.33075    0.22    1.00    0.10   -0.10    2.60    0.00    0.00    0.94   -0.98    1.55   -1.64   -0.44    0.43    0.22   -0.22    0.09   -0.08    0.58   -0.60    2.82   -2.85    0.13   -0.14    0.00    0.00    0.00    0.00    0.48   -0.53    0.05   -0.05    0.00    0.00    0.00    0.00    1.19   -1.25   -3.74    3.74    0.33   -0.40    0.12   -0.14    0.21   -0.24    0.00    0.00   -0.00   -0.02   -0.07    0.05   -0.07    0.05   -0.03    0.03    0.00    0.00    0.00    0.00   -0.06    0.06    0.41   -0.41    1.12   -1.06   -0.00    0.00
       0       1     1.5     737     846     0.12806    0.33    1.00    0.15   -0.10    2.60    0.00    0.00    1.08   -1.05    1.77   -1.69   -0.22    0.21    0.54   -0.57    0.34   -0.35    0.46   -0.47    2.90   -2.79    0.11   -0.10    0.00    0.00    0.00    0.00    0.72   -0.68    0.04   -0.03    0.00    0.00    0.00    0.00    1.71   -1.71   -4.33    4.39    0.25   -0.14    0.13   -0.11    0.16   -0.12    0.00    0.00    0.12   -0.09   -0.04    0.06   -0.04    0.06   -0.01    0.01    0.00    0.00    0.00    0.00   -0.06    0.06    0.48   -0.47    1.03   -0.97   -0.00    0.00
       0       1     1.5     846     967    0.048077    0.51    1.00    0.10   -0.10    2.60    0.00    0.00    1.00   -0.93    1.64   -1.53   -0.53    0.58    0.23   -0.19    0.05   -0.06    0.10   -0.07    3.04   -2.79    0.12   -0.11    0.00    0.00    0.00    0.00    0.57   -0.57    0.02   -0.04    0.00    0.00    0.00    0.00    1.85   -1.58   -5.07    5.49    0.59   -0.67    0.12   -0.16    0.25   -0.23    0.00    0.00    0.00   -0.03   -0.15    0.16    0.01   -0.04    0.04   -0.04    0.00    0.00    0.00    0.00   -0.06    0.06    0.54   -0.54    1.28   -1.35   -0.00    0.00
       0       1     1.5     967    1101     0.01824    0.78    1.00    0.10   -0.15    2.60    0.00    0.00    1.26   -1.36    2.13   -2.30   -0.36    0.28    0.74   -0.79    0.54   -0.52    0.15   -0.13    3.04   -3.29    0.05   -0.03    0.00    0.00    0.00    0.00    1.05   -1.06    0.05   -0.01    0.00    0.00    0.00    0.00    2.22   -2.47   -5.85    5.59    0.19   -0.23    0.17   -0.12    0.16   -0.21    0.00    0.00    0.11   -0.10   -0.01   -0.00    0.14   -0.11    0.01    0.01    0.00    0.00    0.00    0.00   -0.06    0.06    0.62   -0.61    0.94   -0.93   -0.00    0.00
       0       1     1.5    1101    1248   0.0063938    1.29    1.00    0.00    0.00    2.60    0.00    0.00    1.40   -1.24    2.12   -1.78   -0.86    0.87    0.53   -0.52    0.29   -0.34   -0.70    0.66    3.39   -3.04    0.12   -0.15    0.00    0.00    0.00    0.00    1.05   -1.02    0.08   -0.13    0.00    0.00    0.00    0.00    2.83   -2.39   -6.99    8.06    0.65   -0.52    0.19   -0.14    0.29   -0.20    0.00    0.00    0.10   -0.04    0.14   -0.06    0.20   -0.24    0.14   -0.14    0.00    0.00    0.00    0.00   -0.06    0.06    0.69   -0.68    1.56   -1.92   -0.00    0.00
       0       1     1.5    1248    1410   0.0022293    2.08    1.00    0.00    0.00    2.60    0.00    0.00    0.96   -1.26    2.15   -2.43   -0.17    0.32    0.64   -0.52    0.37   -0.28   -0.16    0.13    3.56   -3.81   -0.05    0.09    0.00    0.00    0.00    0.00    0.84   -1.07   -0.04    0.10    0.00    0.00    0.00    0.00    2.68   -3.35   -8.51    7.49    0.29   -0.73   -0.00   -0.40    0.08   -0.19    0.00    0.00   -0.10   -0.15   -0.04   -0.27    0.25   -0.27   -0.07    0.07    0.00    0.00    0.00    0.00   -0.06    0.06    0.77   -0.76    0.97   -1.02   -0.00    0.00
       0       1     1.5    1410    1588  0.00069032    3.63    1.00    0.00    0.00    2.60    0.00    0.00    2.27   -2.00    2.65   -2.85   -1.57    1.12    0.71   -1.06    0.59   -0.78   -2.12    1.93    3.67   -4.07    0.14   -0.32    0.00    0.00    0.00    0.00    2.37   -2.09    0.09   -0.32    0.00    0.00    0.00    0.00    4.15   -4.03  -10.01   10.40    0.75   -0.00    0.38    0.13    0.26   -0.23    0.00    0.00    0.30    0.10    0.25    0.17    0.69   -0.64    0.35   -0.40    0.00    0.00    0.00    0.00   -0.06    0.06    0.86   -0.84    2.06   -2.91   -0.00    0.00
       0       1     1.5    1588    1784   0.0001917    6.76    1.00    0.00    0.00    2.60    0.00    0.00    0.90   -0.75    3.47   -2.16   -0.24    1.12    1.64   -0.71    0.92   -0.25    0.68    0.66    5.57   -2.63    0.01    0.20    0.00    0.00    0.00    0.00    0.31   -0.06    0.06    0.20    0.00    0.00    0.00    0.00    5.90   -3.35   -8.58   15.35    0.42   -0.90    0.45   -0.22    0.01   -0.02    0.00    0.00   -0.26   -0.09    0.05   -0.15    1.11   -0.73   -0.25    0.26    0.00    0.00    0.00    0.00   -0.07    0.07    0.95   -0.93    1.54   -2.03   -0.00    0.00
       0       1     1.5    1784    2000  4.9345e-05   12.56    1.00    0.00    0.00    2.60    0.00    0.00    2.87   -4.67    0.04   -5.90   -2.90   -0.33   -1.03   -2.46   -0.42   -2.10   -6.81    2.35    2.77   -8.79    0.35   -0.17    0.00    0.00    0.00    0.00    2.75   -6.32    0.31   -0.17    0.00    0.00    0.00    0.00    3.83   -7.44  -18.44   11.86   -0.31   -0.68   -1.05   -0.76    0.81   -0.41    0.00    0.00    0.24    0.09   -0.18   -0.15   -0.75   -2.51    0.97   -0.60    0.00    0.00    0.00    0.00   -0.10    0.10    1.04   -1.02    2.57   -4.09   -0.01    0.01
       0       1     1.5    2000    2238  1.3651e-05   20.08    1.00    0.00    0.00    2.60    0.00    0.00    3.17    0.41   11.75   -2.63    1.80    4.42    4.66    1.47    3.33    1.70    1.14    5.51    8.54   -3.38   -0.31    0.12    0.00    0.00    0.00    0.00    5.79    0.77   -0.28    0.12    0.00    0.00    0.00    0.00    4.90   -7.46  -14.00    9.82    1.77    0.69    2.42    0.67   -0.71    0.37    0.00    0.00   -0.18   -0.07    0.90    0.14    4.80    1.51   -0.83    0.50    0.00    0.00    0.00    0.00   -0.05    0.05    1.16   -1.13    0.82   -1.15    0.00   -0.00
       0       1     1.5    2238    2500  2.3528e-07  340.53    1.00    0.00    0.00    2.60    0.00    0.00    5.75  -66.92  -57.01  -48.39  -76.43   -2.50   -4.04  -73.50    1.03  -42.32  -72.04  -14.90   11.69 -149.95    2.65   -1.01    0.00    0.00    0.00    0.00  -18.13  -68.69    2.37   -1.02    0.00    0.00    0.00    0.00  166.31 -122.98  -63.09  387.43   -9.57   -5.93  -14.98   -5.71    6.08   -3.17    0.00    0.00    1.57    0.57   -7.96   -1.19   -5.77  -73.92    7.04   -4.22    0.00    0.00    0.00    0.00   -4.94    4.94    2.82   -2.67   72.33 -132.05   -0.36    0.53
       0       1     1.5    2500    2787           0    0.00    1.00    0.00    0.00    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0       1     1.5    2787    3103           0    0.00    1.00    0.00    0.00    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
