       0       0     0.5     548     638      1.6916    0.10    1.00    0.00    0.05    2.60    0.00    0.00    0.83   -0.82    1.37   -1.33   -0.16    0.18    0.32   -0.30    0.16   -0.16    0.90   -0.87    2.46   -2.39    0.00    0.00    0.00    0.00    0.00    0.00    0.40   -0.38    0.00    0.00    0.00    0.00    0.00    0.00    1.04   -1.03    0.19   -0.19    0.30   -0.29    0.10   -0.10    0.00    0.00    0.00    0.00    0.19   -0.19   -0.06    0.05    0.06   -0.06    0.00    0.00    0.00    0.00    0.00    0.00   -0.07    0.07    0.07   -0.07    0.50   -0.46   -0.00    0.00
       0       0     0.5     638     737     0.67944    0.12    1.00   -0.05    0.05    2.60    0.00    0.00    0.93   -0.91    1.50   -1.52   -0.40    0.37    0.24   -0.26    0.09   -0.08    0.60   -0.62    2.68   -2.69    0.00    0.00    0.00    0.00    0.00    0.00    0.55   -0.56    0.00    0.00    0.00    0.00    0.00    0.00    1.10   -1.09    0.08   -0.08    0.60   -0.60    0.11   -0.12    0.00    0.00    0.00    0.00    0.07   -0.09   -0.05    0.06   -0.09    0.10    0.00    0.00    0.00    0.00    0.00    0.00   -0.06    0.06    0.06   -0.06    0.49   -0.45   -0.00    0.00
       0       0     0.5     737     846     0.28083    0.17    1.00   -0.05    0.10    2.60    0.00    0.00    0.86   -0.88    1.46   -1.43   -0.19    0.20    0.40   -0.40    0.24   -0.26    0.44   -0.44    2.73   -2.65    0.00    0.00    0.00    0.00    0.00    0.00    0.47   -0.48    0.00    0.00    0.00    0.00    0.00    0.00    1.04   -1.05    0.01   -0.01    0.65   -0.68    0.09   -0.09    0.00    0.00    0.00    0.00    0.11   -0.11   -0.05    0.04    0.01   -0.03    0.00    0.00    0.00    0.00    0.00    0.00   -0.06    0.06    0.06   -0.06    0.45   -0.42   -0.00    0.00
       0       0     0.5     846     967     0.11675    0.25    1.00   -0.10    0.05    2.60    0.00    0.00    1.00   -1.00    1.67   -1.62   -0.51    0.48    0.31   -0.34    0.14   -0.14    0.12   -0.14    2.92   -2.79    0.00    0.00    0.00    0.00    0.00    0.00    0.70   -0.70    0.00    0.00    0.00    0.00    0.00    0.00    1.23   -1.22   -0.19    0.17    1.00   -0.97    0.12   -0.13    0.00    0.00    0.00    0.00    0.18   -0.17   -0.12    0.13   -0.12    0.12    0.00    0.00    0.00    0.00    0.00    0.00   -0.06    0.06    0.06   -0.06    0.45   -0.43   -0.00    0.01
       0       0     0.5     967    1101    0.048372    0.37    1.00   -0.10    0.10    2.60    0.00    0.00    0.93   -0.90    1.54   -1.56   -0.19    0.29    0.52   -0.42    0.34   -0.29    0.17   -0.13    2.93   -2.93    0.00    0.00    0.00    0.00    0.00    0.00    0.62   -0.57    0.00    0.00    0.00    0.00    0.00    0.00    1.16   -1.15   -0.16    0.21    1.05   -1.05    0.11   -0.07    0.00    0.00    0.00    0.00    0.00   -0.00   -0.05    0.04   -0.01    0.07    0.00    0.00    0.00    0.00    0.00    0.00   -0.05    0.05    0.06   -0.06    0.43   -0.41   -0.01    0.01
       0       0     0.5    1101    1248    0.019947    0.55    1.00   -0.10    0.10    2.60    0.00    0.00    1.00   -1.18    1.64   -1.80   -0.65    0.52    0.41   -0.54    0.27   -0.35   -0.32    0.29    3.02   -3.32    0.00    0.00    0.00    0.00    0.00    0.00    0.75   -0.95    0.00    0.00    0.00    0.00    0.00    0.00    1.23   -1.41   -0.42    0.34    1.34   -1.57    0.10   -0.17    0.00    0.00    0.00    0.00    0.09   -0.10    0.10   -0.10   -0.21    0.09    0.00    0.00    0.00    0.00    0.00    0.00   -0.05    0.05    0.06   -0.06    0.39   -0.38   -0.01    0.01
       0       0     0.5    1248    1410   0.0082161    0.82    1.00   -0.10    0.10    2.60    0.00    0.00    1.16   -0.86    1.80   -1.60   -0.34    0.45    0.59   -0.50    0.26   -0.15   -0.42    0.36    3.75   -3.21    0.00    0.00    0.00    0.00    0.00    0.00    0.98   -0.66    0.00    0.00    0.00    0.00    0.00    0.00    1.45   -1.18   -0.43    0.54    1.73   -1.31    0.13   -0.14    0.00    0.00    0.00    0.00    0.03   -0.06    0.03   -0.06   -0.13    0.21    0.00    0.00    0.00    0.00    0.00    0.00   -0.05    0.05    0.06   -0.06    0.41   -0.44   -0.00    0.01
       0       0     0.5    1410    1588   0.0033888    1.21    1.00   -0.15    0.10    2.60    0.00    0.00    1.26   -1.32    2.23   -2.14   -0.72    0.66    0.43   -0.46    0.49   -0.52   -0.71    0.81    3.50   -3.63    0.00    0.00    0.00    0.00    0.00    0.00    0.88   -1.14    0.00    0.00    0.00    0.00    0.00    0.00    1.54   -1.68   -0.78    0.64    2.01   -2.38    0.19   -0.12    0.00    0.00    0.00    0.00    0.12   -0.03    0.12   -0.03   -0.18    0.20    0.00    0.00    0.00    0.00    0.00    0.00   -0.05    0.05    0.05   -0.05    0.30   -0.31   -0.00    0.00
       0       0     0.5    1588    1784   0.0012922    1.88    1.00    0.00    0.00    2.60    0.00    0.00    1.08   -1.03    1.64   -1.47   -0.48    0.49    0.60   -0.58    0.31   -0.30   -0.76    1.00    3.96   -2.73    0.00    0.00    0.00    0.00    0.00    0.00    1.24   -0.79    0.00    0.00    0.00    0.00    0.00    0.00    1.54   -1.08   -0.50    0.90    2.06   -1.16    0.03   -0.10    0.00    0.00    0.00    0.00    0.01   -0.07    0.01   -0.07   -0.29    0.13    0.00    0.00    0.00    0.00    0.00    0.00   -0.05    0.05    0.05   -0.05    0.52   -0.58   -0.00    0.00
       0       0     0.5    1784    2000  0.00049123    2.93    1.00    0.00    0.00    2.60    0.00    0.00    1.03   -1.77    1.89   -3.12   -1.04    0.52    0.51   -1.07    0.26   -0.76   -1.87    0.61    2.43   -5.02    0.00    0.00    0.00    0.00    0.00    0.00    0.26   -1.82    0.00    0.00    0.00    0.00    0.00    0.00    1.43   -2.41   -1.71    0.20    2.37   -4.36    0.20   -0.14    0.00    0.00    0.00    0.00    0.09   -0.10    0.09   -0.11   -0.37    0.21    0.00    0.00    0.00    0.00    0.00    0.00   -0.05    0.05    0.05   -0.05    0.39   -0.42    0.00    0.00
